STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:12832,APALACHICOLA AIRPORT FL US,5.8,29.73333,-85.03333,2017-06-18 00:53,FM-15,CLR:00,10.00,,74,23.3,74,23.3,74,23.3,100,0,000,,29.88,8,,29.90,0.00,29.90,,,,,,,,,,0540,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12832,APALACHICOLA AIRPORT FL US,5.8,29.73333,-85.03333,2017-06-18 01:00,FM-12,,,,74,23.3,74,23.3,74,23.3,100,0,000,,29.88,8,+0.02,29.90,,29.90,,,,,,,,,,0540,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12832,APALACHICOLA AIRPORT FL US,5.8,29.73333,-85.03333,2017-06-18 01:53,FM-15,CLR:00,10.00,,73,22.8,73,22.8,73,22.8,100,0,000,,29.86,,,29.88,0.00,29.88,,,,,,,,,,0540,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12832,APALACHICOLA AIRPORT FL US,5.8,29.73333,-85.03333,2017-06-18 02:53,FM-15,CLR:00,10.00,,77,25.0,76,24.5,76,24.4,96,6,180,,29.85,,,29.87,0.00,29.87,,,,,,,,,,0540,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12832,APALACHICOLA AIRPORT FL US,5.8,29.73333,-85.03333,2017-06-18 03:23,FM-16,BKN:07 17,10.00,,79,26.1,78,25.6,78,25.6,97,5,190,,29.85,,,,,29.87,,,,,,,,,,0540,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12832,APALACHICOLA AIRPORT FL US,5.8,29.73333,-85.03333,2017-06-18 03:37,FM-16,SCT:04 17,10.00,,79,26.1,77,25.2,77,25.0,94,7,200,,29.85,,,,,29.87,,,,,,,,,,0540,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12832,APALACHICOLA AIRPORT FL US,5.8,29.73333,-85.03333,2017-06-18 03:53,FM-15,SCT:04 17,10.00,,79,26.1,77,25.2,77,25.0,94,7,200,,29.85,6,,29.87,0.00,29.87,,,,,,,,,,0540,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12832,APALACHICOLA AIRPORT FL US,5.8,29.73333,-85.03333,2017-06-18 04:53,FM-15,FEW:02 18,10.00,,79,26.1,77,25.2,77,25.0,94,7,190,,29.88,,,29.90,0.00,29.90,,,,,,,,,,0540,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12832,APALACHICOLA AIRPORT FL US,5.8,29.73333,-85.03333,2017-06-18 05:53,FM-15,FEW:02 19,10.00,,75,23.9,75,23.9,75,23.9,100,0,000,,29.91,,,29.93,0.00,29.93,,,,,,,,,,0540,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12832,APALACHICOLA AIRPORT FL US,5.8,29.73333,-85.03333,2017-06-18 06:53,FM-15,FEW:02 20,10.00,,80,26.7,78,25.8,78,25.6,94,0,000,,29.93,1,,29.96,0.00,29.95,,,,,,,,,,0540,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
